Buffer_ID,class
BK329616,over 60000
BX447564,20000-30000
BX43926,20000-30000
SI228057,under 10000
SI22604,under 10000
BK6362100,40000-50000
SI614165,15000-20000
QN24216,30000-40000
SI1184,10000-15000
SI291530,10000-15000
SI62539,under 10000
BX3343136,over 60000
QN902111,40000-50000
QN11966134,30000-40000
QN356965,20000-30000
BK417114,40000-50000
QN451848,10000-15000
BK596869,30000-40000
SI93981,under 10000
SI362734,under 10000
SI9411,10000-15000
BX5796166,40000-50000
QN1138440,10000-15000
QN13052100,15000-20000
SI2831200,15000-20000
BX33102,over 60000
SI591,20000-30000
SI283417,15000-20000
SI4732,15000-20000
BK513631,40000-50000
SI57250,15000-20000
BX533520,15000-20000
BX26938,40000-50000
SI61849,15000-20000
BX54887,15000-20000
BK157421,20000-30000
BK145466,40000-50000
SI3315,20000-30000
QN1095332,20000-30000
SI298187,15000-20000
QN1260819,20000-30000
BK715165,30000-40000
SI199112,10000-15000
MN191261,over 60000
BK651025,40000-50000
SI669911,under 10000
BX537318,15000-20000
QN1110456,20000-30000
QN130247,15000-20000
BK114831,40000-50000
BX5653319,under 10000
BX31118,over 60000
SI65771,under 10000
SI792486,under 10000
BX293545,40000-50000
MN178631,over 60000
SI7710315,under 10000
SI661662,under 10000
QN11562106,under 10000
SI683668,10000-15000
BK499212,20000-30000
QN117471,30000-40000
SI160223,10000-15000
QN811246,10000-15000
BX551922,10000-15000
SI5840,15000-20000
SI3771,10000-15000
BX299445,40000-50000
BK334525,over 60000
QN12666108,15000-20000
SI335249,10000-15000
SI11562,20000-30000
SI121218,10000-15000
SI114949,10000-15000
SI777319,under 10000
QN117165,30000-40000
BK547865,40000-50000
SI1116142,10000-15000
SI4645100,10000-15000
QN110811,20000-30000
BX547730,15000-20000
BX331140,40000-50000
BX479939,15000-20000
BK36924,40000-50000
QN269792,20000-30000
QN1079030,15000-20000
SI5243,20000-30000
BX5416261,10000-15000
BK673926,40000-50000
QN395233,15000-20000
BX482512,40000-50000
BX2690109,over 60000
QN75245,30000-40000
SI56570,20000-30000
BK369216,40000-50000
SI694135,under 10000
BX5731861,30000-40000
BK790025,30000-40000
QN331839,30000-40000
BX5263331,30000-40000
SI654918,under 10000
MN202615,over 60000
BX565279,under 10000
BK144956,40000-50000
BK799435,30000-40000
BK7107144,30000-40000
SI5724113,15000-20000
SI65026,20000-30000
BX541569,15000-20000
SI227053,under 10000
BX5653318,under 10000
SI12265,10000-15000
SI569118,15000-20000
QN1313425,15000-20000
QN116272,20000-30000
SI226060,under 10000
QN1020120,20000-30000
BX488161,30000-40000
BK349923,40000-50000
MN215619,over 60000
BX58373817,under 10000
BK36923,40000-50000
BK535089,40000-50000
SI618260,15000-20000
BK450728,30000-40000
BX451824,40000-50000
BK329612,over 60000
BK19847,40000-50000
QN946721,30000-40000
BK503072,over 60000
BX466074,40000-50000
SI7792252,under 10000
BK542064,over 60000
BK93468,40000-50000
SI65455,10000-15000
BK658649,40000-50000
BX227512,40000-50000
QN629070,15000-20000
BX537747,20000-30000
BK197367,40000-50000
BX476046,30000-40000
BK547332,40000-50000
SI7106160,10000-15000
SI6339134,10000-15000
QN13434115,10000-15000
BK730115,40000-50000
BX289235,over 60000
BK408835,40000-50000
SI1318200,under 10000
BK3775150,40000-50000
BX299230,40000-50000
SI4500397,10000-15000
BX29394,20000-30000
BX476138,30000-40000
QN968160,40000-50000
BX399753,40000-50000
QN805127,under 10000
BX4463218,20000-30000
QN120379,20000-30000
BK800828,40000-50000
BK153349,40000-50000
SI56323,20000-30000
SI626872,under 10000
SI577112,under 10000
SI30662,10000-15000
QN1138442,10000-15000
SI52382,10000-15000
QN990898,20000-30000
SI113241,10000-15000
SI5242,20000-30000
QN199969,over 60000
SI156050,10000-15000
QN98138,40000-50000
BX252652,over 60000
BK73638,40000-50000
BX497729,30000-40000
BX480314,15000-20000
SI443215,under 10000
